Time slot,Consumption (kWh),Wind Generation (kWh per MW),Solar Generation (kWh per MWp),,Grid Tariff: $0.30 per kWh from 7am to 10 am and 5pm to 10pm and $0.20 per kWh for 10 am to 5pm and $0.00 per kWh for the remainder of the day.  ,,,,,
1/1/2025 0:00,10,11,0,,,,,,,
1/1/2025 0:15,10,13,0,,Renewable Energy Tariff: $0.15 per kWh,,,,,
1/1/2025 0:30,10,13,0,,,,,,,
1/1/2025 0:45,10,15,0,,Calculate the quantum of wind and solar required to meet the consumption profile by minimising the losses (Excess Generation) and maximising the offset (real-time matching or delivery) of the power.,,,,,
1/1/2025 1:00,10,19,0,,,,,,,
1/1/2025 1:15,10,15,0,,,,,,,
1/1/2025 1:30,10,19,0,,,,,,,
1/1/2025 1:45,10,19,0,,,,,,,
1/1/2025 2:00,10,19,0,,,,,,,
1/1/2025 2:15,10,22,0,,,,,,,
1/1/2025 2:30,10,27,0,,,,,,,
1/1/2025 2:45,10,27,0,,,,,,,
1/1/2025 3:00,10,27,0,,,,,,,
1/1/2025 3:15,10,27,0,,,,,,,
1/1/2025 3:30,10,27,0,,,,,,,
1/1/2025 3:45,10,30,0,,,,,,,
1/1/2025 4:00,10,36,0,,,,,,,
1/1/2025 4:15,10,40,0,,,,,,,
1/1/2025 4:30,10,47,0,,,,,,,
1/1/2025 4:45,10,40,0,,,,,,,
1/1/2025 5:00,10,47,0,,,,,,,
1/1/2025 5:15,10,47,0,,,,,,,
1/1/2025 5:30,10,47,0,,,,,,,
1/1/2025 5:45,10,47,0,,,,,,,
1/1/2025 6:00,10,47,0,,,,,,,
1/1/2025 6:15,10,47,0,,,,,,,
1/1/2025 6:30,10,40,0,,,,,,,
1/1/2025 6:45,10,36,0,,,,,,,
1/1/2025 7:00,10,36,20,,,,,,,
1/1/2025 7:15,10,40,20,,,,,,,
1/1/2025 7:30,10,47,20,,,,,,,
1/1/2025 7:45,10,43,20,,,,,,,
1/1/2025 8:00,10,36,76,,,,,,,
1/1/2025 8:15,10,36,76,,,,,,,
1/1/2025 8:30,10,30,76,,,,,,,
1/1/2025 8:45,10,24,76,,,,,,,
1/1/2025 9:00,10,19,124,,,,,,,
1/1/2025 9:15,10,13,124,,,,,,,
1/1/2025 9:30,10,13,124,,,,,,,
1/1/2025 9:45,10,13,124,,,,,,,
1/1/2025 10:00,10,9,151,,,,,,,
1/1/2025 10:15,10,7,151,,,,,,,
